model,dataset,budget,feature,nResolved,meanResolved,medianResolved,stdResolved,q25Resolved,q75Resolved,nEscalated,meanEscalated,medianEscalated,stdEscalated,q25Escalated,q75Escalated,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
llama3.1_8b,aegis,100,totalPulls,178,108.18539325842697,78.0,70.72916762319016,72.0,92.0,222,282.04954954954957,300.0,56.47008798381892,287.0,300.0,2425.5,9.472923547832885e-55,0.8772395991497115
llama3.1_8b,aegis,100,eliminationRound,178,26.876404494382022,26.0,3.7244655316537516,24.0,29.0,214,32.49065420560748,34.0,3.528210460498889,34.0,34.0,5941.5,5.292129762118221e-34,0.6880447338023732
llama3.1_8b,aegis,100,finalVoteMargin,130,0.9783592669012366,1.0,0.029522810284428953,0.9615384615384616,1.0,168,0.35781465696416465,0.29411764705882354,0.31367238628978816,0.038461538461538464,0.6169786096256684,21710.0,2.849851457231315e-49,-0.9880952380952381
llama3.1_8b,aegis,100,finalEntropy,130,0.030235278986221442,0.0,0.0409036843679815,0.0,0.05440723881381483,145,0.3777396982490755,0.40105070315108626,0.1627111267518958,0.2306771099234291,0.5075835458315365,135.0,3.7908994394456576e-46,0.9856763925729443
llama3.1_8b,aegis,100,numberOfEliminations,178,1.3651685393258426,1.0,0.4828355801126436,1.0,2.0,214,0.4953271028037383,0.0,0.7037636150262099,0.0,1.0,31258.0,1.0062190778748526e-31,-0.6411845006825581
llama3.1_8b,aegis,100,numberOfSurvivingCandidates,178,1.0,1.0,0.0,1.0,1.0,214,2.3738317757009346,3.0,0.8615235384181185,1.25,3.0,4806.0,6.737330569919427e-49,0.7476635514018692
llama3.1_8b,aegis,124,finalConfidence,149,0.9679913199573008,1.0,0.04231222570242745,0.9393939393939394,1.0,0,,,,,,,,
llama3.1_8b,aegis,124,totalPulls,199,116.87939698492463,78.0,88.65541924355611,72.0,100.0,201,335.2039800995025,372.0,76.45719837974448,324.0,372.0,3096.0,1.0335158679950058e-49,0.8451961299032476
llama3.1_8b,aegis,124,eliminationRound,199,28.91457286432161,26.0,5.845462601343402,24.0,31.0,193,38.29015544041451,42.0,7.181338407976545,33.0,42.0,6618.5,3.0256430578765763e-30,0.6553492852865364
llama3.1_8b,aegis,124,finalVoteMargin,149,0.9679913199573008,1.0,0.04231222570242745,0.9393939393939394,1.0,149,0.2985108514909379,0.20833333333333334,0.2833159507180508,0.038461538461538464,0.5476190476190477,22171.0,4.370327686210055e-51,-0.9972974190351787
